Name,Team,Age,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,PTS/G,TS%,USG%,EXP,DPOSS,DRAYMOND
Kevin Durant,BKN2,30,1.8,5,0.353,7.5,12.8,0.587,5.7,6.5,0.885,26,0.631,29,12,6753.048,0.9417883
Kyrie Irving,BKN2,27,2.6,6.5,0.401,6.4,12,0.533,3.2,3.7,0.873,23.8,0.592,29.6,8,5434.451,-1.011272
DeAndre Jordan,BKN2,31,0,0,,4.1,6.5,0.634,2.7,3.5,0.773,10.9,0.681,16.8,11,4299.975,0.8333448
Victor Oladipo,IND,26,2.1,6,0.343,4.9,10.3,0.47,2.9,3.9,0.73,18.8,0.519,27.9,6,2361.625,-1.841761
Myles Turner,IND,22,1,2.6,0.388,4.1,7.9,0.521,2,2.7,0.736,13.3,0.567,20,4,4655.604,2.434031
Domantas Sabonis,IND,22,0.1,0.2,0.529,5.5,9.2,0.592,2.8,3.9,0.715,14.1,0.63,23.5,3,4021.284,0.2174945
Doug McDermott,IND,27,1.1,2.7,0.408,1.6,2.8,0.569,0.9,1,0.835,7.3,0.617,16.3,5,2906.158,-0.4505801
Malcolm Brogdon,IND,26,1.6,3.8,0.426,4.3,7.9,0.544,2.2,2.4,0.928,15.6,0.614,20.7,3,4463.056,0.8778965
Jeremy Lamb,IND,27,1.5,4.2,0.348,4,8.2,0.487,2.9,3.3,0.888,15.3,0.552,22.5,7,4710,-0.9330124
T.J. Warren,IND,25,1.8,4.2,0.428,5.1,10,0.51,2.3,2.9,0.815,18,0.58,22.7,5,2895.383,-2.266829
